L T,R T,L T-1,R T-1,L T-2,R T-2,L T-3,R T-3,L T-4,R T-4,L T-5,R T-5,L T-6,R T-6,L T-7,R T-7,L T-8,R T-8,L T-9,R T-9,class
0.993670822,0.546780644,0.923548145,0.544818338,0.886514444,0.562666763,0.956465628,0.567010594,0.959900627,0.547907693,0.920998633,0.533493566,0.891300311,0.592378915,0.92603145,0.567010594,0.965584249,0.567010594,0.92603145,0.567010594,fake
0.923548145,0.544818338,0.886514444,0.562666763,0.956465628,0.567010594,0.959900627,0.547907693,0.920998633,0.533493566,0.891300311,0.592378915,0.92603145,0.567010594,0.965584249,0.567010594,0.92603145,0.567010594,0.891300311,0.567010594,fake
0.886514444,0.562666763,0.956465628,0.567010594,0.959900627,0.547907693,0.920998633,0.533493566,0.891300311,0.592378915,0.92603145,0.567010594,0.965584249,0.567010594,0.92603145,0.567010594,0.891300311,0.567010594,0.92603145,0.569313804,fake
0.956465628,0.567010594,0.959900627,0.547907693,0.920998633,0.533493566,0.891300311,0.592378915,0.92603145,0.567010594,0.965584249,0.567010594,0.92603145,0.567010594,0.891300311,0.567010594,0.92603145,0.569313804,0.923548145,0.569616222,fake
0.959900627,0.547907693,0.920998633,0.533493566,0.891300311,0.592378915,0.92603145,0.567010594,0.965584249,0.567010594,0.92603145,0.567010594,0.891300311,0.567010594,0.92603145,0.569313804,0.923548145,0.569616222,0.92603145,0.585408151,fake
0.920998633,0.533493566,0.891300311,0.592378915,0.92603145,0.567010594,0.965584249,0.567010594,0.92603145,0.567010594,0.891300311,0.567010594,0.92603145,0.569313804,0.923548145,0.569616222,0.92603145,0.585408151,1,0.567010594,fake
0.891300311,0.592378915,0.92603145,0.567010594,0.965584249,0.567010594,0.92603145,0.567010594,0.891300311,0.567010594,0.92603145,0.569313804,0.923548145,0.569616222,0.92603145,0.585408151,1,0.567010594,0.928947879,0.574315193,fake
0.92603145,0.567010594,0.965584249,0.567010594,0.92603145,0.567010594,0.891300311,0.567010594,0.92603145,0.569313804,0.923548145,0.569616222,0.92603145,0.585408151,1,0.567010594,0.928947879,0.574315193,0.92603145,0.569616222,fake
0.965584249,0.567010594,0.92603145,0.567010594,0.891300311,0.567010594,0.92603145,0.569313804,0.923548145,0.569616222,0.92603145,0.585408151,1,0.567010594,0.928947879,0.574315193,0.92603145,0.569616222,0.965146025,0.574315193,fake
0.92603145,0.567010594,0.891300311,0.567010594,0.92603145,0.569313804,0.923548145,0.569616222,0.92603145,0.585408151,1,0.567010594,0.928947879,0.574315193,0.92603145,0.569616222,0.965146025,0.574315193,0.928947879,0.595657361,fake
